"Label (Grouping)","Total population 25 years and over with a Bachelor's degree or higher","Total population 25 years and over with a Bachelor's degree or higher!!Science and Engineering","Total population 25 years and over with a Bachelor's degree or higher!!Science and Engineering Related Fields","Total population 25 years and over with a Bachelor's degree or higher!!Business","Total population 25 years and over with a Bachelor's degree or higher!!Education","Total population 25 years and over with a Bachelor's degree or higher!!Arts, Humanities and Others","Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE","Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!25 to 39 years","Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!25 to 39 years!!Science and Engineering","Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!25 to 39 years!!Science and Engineering Related Fields","Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!25 to 39 years!!Business","Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!25 to 39 years!!Education","Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!25 to 39 years!!Arts, Humanities and Others","Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!40 to 64 years","Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!40 to 64 years!!Science and Engineering","Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!40 to 64 years!!Science and Engineering Related Fields","Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!40 to 64 years!!Business","Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!40 to 64 years!!Education","Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!40 to 64 years!!Arts, Humanities and Others","Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!65 years and over","Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!65 years and over!!Science and Engineering","Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!65 years and over!!Science and Engineering Related Fields","Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!65 years and over!!Business","Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!65 years and over!!Education","Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!65 years and over!!Arts, Humanities and Others"
"    Percent Male","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","43.4%","7.0%","21.1%","8.6%","19.8%","","(X)","47.5%","5.6%","19.0%","4.9%","23.0%","(X)","41.0%","7.8%","23.8%","7.3%","20.2%","(X)","43.7%","7.2%","18.7%","14.2%","16.2%"
"        Margin of Error","(X)","±2.2","±1.1","±1.8","±1.1","±1.9","","(X)","±4.3","±1.6","±3.4","±1.7","±3.7","(X)","±3.2","±1.8","±2.9","±1.4","±3.0","(X)","±3.6","±1.9","±2.9","±2.4","±2.9"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","202,215","45,997","30,751","28,024","42,356","55,087","","69,369","16,388","13,073","10,418","8,286","21,204","90,898","21,720","13,462","13,807","18,602","23,307","41,948","7,889","4,216","3,799","15,468","10,576"
"        Margin of Error","±6,707","±4,015","±3,491","±2,955","±2,901","±4,128","","±4,061","±2,668","±2,111","±1,675","±1,769","±2,752","±4,641","±2,976","±2,338","±2,169","±2,360","±2,355","±2,509","±1,455","±1,145","±1,043","±1,724","±1,769"
"    Percent Female","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","22.7%","15.2%","13.9%","20.9%","27.2%","","(X)","23.6%","18.8%","15.0%","11.9%","30.6%","(X)","23.9%","14.8%","15.2%","20.5%","25.6%","(X)","18.8%","10.1%","9.1%","36.9%","25.2%"
"        Margin of Error","(X)","±1.8","±1.7","±1.3","±1.5","±1.7","","(X)","±3.4","±3.1","±2.4","±2.5","±3.2","(X)","±3.1","±2.4","±2.1","±2.5","±2.4","(X)","±3.2","±2.6","±2.5","±4.0","±3.5"
"Illinois","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,242,579","1,110,672","319,856","662,451","384,954","764,646","","1,146,212","425,494","117,510","222,441","86,505","294,262","1,468,786","494,720","137,087","339,170","159,289","338,520","627,581","190,458","65,259","100,840","139,160","131,864"
"        Margin of Error","±21,416","±17,088","±9,041","±12,978","±9,856","±12,919","","±15,037","±10,629","±6,701","±8,184","±5,702","±8,976","±17,973","±11,108","±6,022","±9,382","±6,813","±9,103","±9,352","±7,339","±3,710","±4,838","±5,016","±4,328"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","34.3%","9.9%","20.4%","11.9%","23.6%","","(X)","37.1%","10.3%","19.4%","7.5%","25.7%","(X)","33.7%","9.3%","23.1%","10.8%","23.0%","(X)","30.3%","10.4%","16.1%","22.2%","21.0%"
"        Margin of Error","(X)","±0.5","±0.3","±0.4","±0.3","±0.4","","(X)","±0.9","±0.6","±0.7","±0.5","±0.7","(X)","±0.6","±0.4","±0.6","±0.4","±0.6","(X)","±0.9","±0.6","±0.7","±0.8","±0.7"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,519,567","656,611","82,489","360,592","88,141","331,734","","522,149","232,075","28,312","119,082","18,555","124,125","687,616","294,645","35,934","172,677","36,657","147,703","309,802","129,891","18,243","68,833","32,929","59,906"
"        Margin of Error","±16,205","±11,181","±5,161","±10,466","±4,370","±9,448","","±10,442","±8,076","±3,381","±6,309","±2,374","±6,266","±12,202","±8,035","±2,678","±7,162","±2,944","±6,020","±6,126","±5,134","±2,298","±3,604","±2,626","±3,041"
"    Percent Male","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","43.2%","5.4%","23.7%","5.8%","21.8%","","(X)","44.4%","5.4%","22.8%","3.6%","23.8%","(X)","42.9%","5.2%","25.1%","5.3%","21.5%","(X)","41.9%","5.9%","22.2%","10.6%","19.3%"
"        Margin of Error","(X)","±0.7","±0.3","±0.6","±0.3","±0.5","","(X)","±1.3","±0.6","±1.1","±0.5","±1.1","(X)","±1.0","±0.4","±0.9","±0.4","±0.8","(X)","±1.3","±0.7","±1.1","±0.9","±0.9"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,723,012","454,061","237,367","301,859","296,813","432,912","","624,063","193,419","89,198","103,359","67,950","170,137","781,170","200,075","101,153","166,493","122,632","190,817","317,779","60,567","47,016","32,007","106,231","71,958"
"        Margin of Error","±15,149","±11,569","±7,457","±8,430","±8,181","±8,944","","±10,259","±7,233","±5,493","±5,179","±4,421","±6,766","±13,274","±7,082","±5,133","±6,719","±6,078","±6,416","±6,478","±3,882","±2,980","±2,587","±4,462","±3,403"
"    Percent Female","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","26.4%","13.8%","17.5%","17.2%","25.1%","","(X)","31.0%","14.3%","16.6%","10.9%","27.3%","(X)","25.6%","12.9%","21.3%","15.7%","24.4%","(X)","19.1%","14.8%","10.1%","33.4%","22.6%"
"        Margin of Error","(X)","±0.6","±0.4","±0.5","±0.4","±0.5","","(X)","±1.1","±0.9","±0.8","±0.7","±1.0","(X)","±0.7","±0.6","±0.8","±0.7","±0.8","(X)","±1.1","±0.9","±0.8","±1.3","±1.0"
"Indiana","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,316,787","387,346","176,122","267,432","194,952","290,935","","441,810","142,006","66,498","79,697","41,978","111,631","617,394","177,816","81,263","144,170","79,662","134,483","257,583","67,524","28,361","43,565","73,312","44,821"
"        Margin of Error","±18,566","±10,330","±6,767","±9,645","±8,673","±8,328","","±10,773","±6,272","±4,816","±5,783","±3,501","±5,758","±12,990","±7,115","±5,170","±7,663","±5,804","±5,921","±6,394","±3,940","±3,315","±3,327","±5,064","±2,827"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","29.4%","13.4%","20.3%","14.8%","22.1%","","(X)","32.1%","15.1%","18.0%","9.5%","25.3%","(X)","28.8%","13.2%","23.4%","12.9%","21.8%","(X)","26.2%","11.0%","16.9%","28.5%","17.4%"
"        Margin of Error","(X)","±0.7","±0.5","±0.7","±0.6","±0.5","","(X)","±1.2","±0.9","±1.3","±0.8","±1.2","(X)","±1.1","±0.8","±1.1","±0.9","±0.9","(X)","±1.6","±1.2","±1.2","±1.8","±1.0"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","610,030","241,692","47,396","143,856","47,807","129,279","","191,042","79,229","14,901","39,921","9,282","47,709","287,759","112,983","22,055","72,853","19,090","60,778","131,229","49,480","10,440","31,082","19,435","20,792"
"        Margin of Error","±11,889","±8,308","±3,685","±6,690","±4,071","±5,292","","±7,196","±4,523","±2,204","±3,849","±1,612","±3,663","±8,189","±6,028","±2,508","±4,903","±2,668","±3,902","±4,285","±3,041","±1,783","±2,673","±2,162","±2,136"
"    Percent Male","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","39.6%","7.8%","23.6%","7.8%","21.2%","","(X)","41.5%","7.8%","20.9%","4.9%","25.0%","(X)","39.3%","7.7%","25.3%","6.6%","21.1%","(X)","37.7%","8.0%","23.7%","14.8%","15.8%"
"        Margin of Error","(X)","±1.2","±0.6","±1.0","±0.7","±0.8","","(X)","±2.0","±1.1","±1.9","±0.8","±1.6","(X)","±1.9","±0.8","±1.5","±0.9","±1.2","(X)","±2.0","±1.4","±1.9","±1.6","±1.5"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","706,757","145,654","128,726","123,576","147,145","161,656","","250,768","62,777","51,597","39,776","32,696","63,922","329,635","64,833","59,208","71,317","60,572","73,705","126,354","18,044","17,921","12,483","53,877","24,029"
"        Margin of Error","±10,833","±6,098","±5,237","±6,589","±6,475","±6,509","","±6,897","±3,691","±4,133","±4,256","±2,859","±4,599","±8,734","±4,440","±4,239","±4,764","±4,895","±4,265","±4,170","±2,376","±2,343","±1,826","±3,988","±1,970"
"    Percent Female","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","20.6%","18.2%","17.5%","20.8%","22.9%","","(X)","25.0%","20.6%","15.9%","13.0%","25.5%","(X)","19.7%","18.0%","21.6%","18.4%","22.4%","(X)","14.3%","14.2%","9.9%","42.6%","19.0%"
"        Margin of Error","(X)","±0.8","±0.7","±0.9","±0.8","±0.8","","(X)","±1.4","±1.3","±1.6","±1.2","±1.7","(X)","±1.2","±1.2","±1.3","±1.4","±1.3","(X)","±1.9","±1.7","±1.4","±2.7","±1.5"
"Iowa","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","652,742","198,447","61,673","140,378","106,048","146,196","","218,695","70,681","23,020","46,198","23,936","54,860","295,470","89,580","24,568","75,226","42,837","63,259","138,577","38,186","14,085","18,954","39,275","28,077"
"        Margin of Error","±11,867","±7,064","±4,203","±5,101","±3,866","±6,857","","±7,652","±4,628","±2,755","±3,705","±2,284","±3,663","±8,920","±5,276","±2,580","±4,220","±2,831","±4,498","±4,852","±2,222","±1,722","±1,967","±2,512","±2,398"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","30.4%","9.4%","21.5%","16.2%","22.4%","","(X)","32.3%","10.5%","21.1%","10.9%","25.1%","(X)","30.3%","8.3%","25.5%","14.5%","21.4%","(X)","27.6%","10.2%","13.7%","28.3%","20.3%"
"        Margin of Error","(X)","±0.9","±0.6","±0.8","±0.6","±0.9","","(X)","±1.6","±1.3","±1.5","±1.0","±1.5","(X)","±1.5","±0.8","±1.3","±0.9","±1.3","(X)","±1.5","±1.1","±1.3","±1.4","±1.7"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","303,205","122,866","15,005","76,908","29,831","58,595","","95,981","41,375","5,176","22,772","4,901","21,757","137,231","51,869","5,956","40,546","12,756","26,104","69,993","29,622","3,873","13,590","12,174","10,734"
"        Margin of Error","±7,803","±4,844","±2,047","±3,705","±2,388","±4,517","","±4,546","±3,569","±1,366","±2,235","±961","±2,399","±5,894","±3,656","±1,188","±3,520","±1,795","±2,633","±2,969","±2,016","±918","±1,615","±1,527","±1,498"
"    Percent Male","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","40.5%","4.9%","25.4%","9.8%","19.3%","","(X)","43.1%","5.4%","23.7%","5.1%","22.7%","(X)","37.8%","4.3%","29.5%","9.3%","19.0%","(X)","42.3%","5.5%","19.4%","17.4%","15.3%"
"        Margin of Error","(X)","±1.3","±0.7","±1.1","±0.7","±1.3","","(X)","±2.9","±1.4","±2.1","±1.0","±2.3","(X)","±2.2","±0.8","±2.1","±1.3","±1.7","(X)","±2.6","±1.3","±2.1","±1.9","±2.1"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","349,537","75,581","46,668","63,470","76,217","87,601","","122,714","29,306","17,844","23,426","19,035","33,103","158,239","37,711","18,612","34,680","30,081","37,155","68,584","8,564","10,212","5,364","27,101","17,343"
"        Margin of Error","±7,448","±4,309","±3,227","±3,931","±3,507","±4,724","","±5,468","±2,895","±2,274","±2,562","±1,942","±2,916","±5,033","±3,145","±2,005","±2,633","±2,458","±3,272","±3,177","±1,104","±1,346","±1,083","±2,074","±1,808"
"    Percent Female","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","21.6%","13.4%","18.2%","21.8%","25.1%","","(X)","23.9%","14.5%","19.1%","15.5%","27.0%","(X)","23.8%","11.8%","21.9%","19.0%","23.5%","(X)","12.5%","14.9%","7.8%","39.5%","25.3%"
"        Margin of Error","(X)","±1.1","±0.9","±1.0","±1.0","±1.2","","(X)","±1.9","±1.8","±1.9","±1.5","±2.0","(X)","±1.7","±1.2","±1.6","±1.5","±1.9","(X)","±1.4","±1.7","±1.5","±2.4","±2.6"
"Kansas","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","687,452","204,996","75,800","157,995","104,549","144,112","","222,969","74,537","27,751","47,258","20,056","53,367","315,688","91,965","33,947","81,608","43,669","64,499","148,795","38,494","14,102","29,129","40,824","26,246"
"        Margin of Error","±10,980","±7,123","±4,800","±6,694","±4,514","±6,009","","±7,589","±5,332","±2,957","±4,040","±1,846","±4,097","±7,759","±4,871","±3,328","±5,186","±2,712","±4,357","±3,988","±2,721","±1,529","±2,513","±2,426","±2,076"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","29.8%","11.0%","23.0%","15.2%","21.0%","","(X)","33.4%","12.4%","21.2%","9.0%","23.9%","(X)","29.1%","10.8%","25.9%","13.8%","20.4%","(X)","25.9%","9.5%","19.6%","27.4%","17.6%"
"        Margin of Error","(X)","±0.9","±0.7","±0.9","±0.6","±0.8","","(X)","±2.0","±1.2","±1.7","±0.8","±1.6","(X)","±1.4","±1.1","±1.4","±0.8","±1.3","(X)","±1.7","±1.0","±1.5","±1.5","±1.3"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","330,367","129,237","21,539","86,070","26,919","66,602","","102,875","42,394","6,743","24,210","4,191","25,337","151,664","58,046","9,979","43,121","11,012","29,506","75,828","28,797","4,817","18,739","11,716","11,759"
"        Margin of Error","±6,901","±5,087","±2,437","±4,321","±2,370","±3,573","","±4,013","±3,401","±1,453","±2,645","±817","±2,778","±5,366","±3,923","±1,762","±3,209","±1,523","±2,683","±2,642","±2,064","±906","±2,054","±1,470","±1,407"
"    Percent Male","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","39.1%","6.5%","26.1%","8.1%","20.2%","","(X)","41.2%","6.6%","23.5%","4.1%","24.6%","(X)","38.3%","6.6%","28.4%","7.3%","19.5%","(X)","38.0%","6.4%","24.7%","15.5%","15.5%"
"        Margin of Error","(X)","±1.4","±0.7","±1.3","±0.7","±0.9","","(X)","±2.8","±1.4","±2.5","±0.8","±2.4","(X)","±2.2","±1.1","±2.0","±1.0","±1.6","(X)","±2.4","±1.2","±2.5","±1.9","±1.8"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","357,085","75,759","54,261","71,925","77,630","77,510","","120,094","32,143","21,008","23,048","15,865","28,030","164,024","33,919","23,968","38,487","32,657","34,993","72,967","9,697","9,285","10,390","29,108","14,487"
"        Margin of Error","±7,183","±4,117","±3,658","±4,765","±3,958","±4,665","","±4,826","±3,159","±2,488","±2,593","±1,720","±2,797","±4,861","±2,526","±2,452","±3,741","±2,558","±3,341","±3,039","±1,438","±1,282","±1,688","±2,109","±1,725"
"    Percent Female","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","21.2%","15.2%","20.1%","21.7%","21.7%","","(X)","26.8%","17.5%","19.2%","13.2%","23.3%","(X)","20.7%","14.6%","23.5%","19.9%","21.3%","(X)","13.3%","12.7%","14.2%","39.9%","19.9%"
"        Margin of Error","(X)","±1.1","±1.0","±1.3","±1.0","±1.3","","(X)","±2.5","±1.9","±2.0","±1.3","±2.2","(X)","±1.5","±1.5","±1.9","±1.6","±1.9","(X)","±1.9","±1.7","±2.2","±2.4","±2.2"
"Kentucky","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","830,414","244,213","103,083","155,678","128,689","198,751","","277,725","87,816","36,705","46,105","29,869","77,230","380,977","109,415","49,443","81,410","52,430","88,279","171,712","46,982","16,935","28,163","46,390","33,242"
"        Margin of Error","±14,391","±7,402","±5,527","±6,674","±6,057","±8,014","","±7,864","±4,881","±3,635","±4,044","±3,230","±5,228","±9,797","±5,136","±3,534","±4,876","±3,603","±5,105","±5,549","±3,062","±2,008","±3,038","±3,118","±2,598"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","29.4%","12.4%","18.7%","15.5%","23.9%","","(X)","31.6%","13.2%","16.6%","10.8%","27.8%","(X)","28.7%","13.0%","21.4%","13.8%","23.2%","(X)","27.4%","9.9%","16.4%","27.0%","19.4%"
"        Margin of Error","(X)","±0.7","±0.7","±0.7","±0.6","±0.8","","(X)","±1.5","±1.3","±1.4","±1.0","±1.7","(X)","±1.1","±0.9","±1.2","±0.9","±1.2","(X)","±1.7","±1.1","±1.7","±1.5","±1.4"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","373,474","142,956","26,175","87,114","31,341","85,888","","120,233","48,190","7,756","24,319","7,357","32,611","168,208","62,035","14,102","42,614","11,612","37,845","85,033","32,731","4,317","20,181","12,372","15,432"
"        Margin of Error","±9,355","±5,881","±2,286","±5,148","±3,024","±4,256","","±4,973","±3,545","±1,421","±2,486","±1,554","±3,061","±5,747","±3,650","±1,579","±3,755","±1,748","±2,982","±3,782","±2,268","±931","±2,519","±1,568","±1,829"
"    Percent Male","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","38.3%","7.0%","23.3%","8.4%","23.0%","","(X)","40.1%","6.5%","20.2%","6.1%","27.1%","(X)","36.9%","8.4%","25.3%","6.9%","22.5%","(X)","38.5%","5.1%","23.7%","14.5%","18.1%"
"        Margin of Error","(X)","±1.2","±0.6","±1.2","±0.7","±1.1","","(X)","±2.2","±1.1","±2.0","±1.2","±2.4","(X)","±1.7","±0.9","±2.0","±1.0","±1.7","(X)","±2.4","±1.1","±2.6","±1.7","±2.0"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","456,940","101,257","76,908","68,564","97,348","112,863","","157,492","39,626","28,949","21,786","22,512","44,619","212,769","47,380","35,341","38,796","40,818","50,434","86,679","14,251","12,618","7,982","34,018","17,810"
"        Margin of Error","±8,947","±4,753","±4,853","±4,413","±5,287","±5,844","","±5,304","±3,141","±3,403","±2,843","±2,589","±3,492","±6,681","±3,967","±2,941","±2,781","±3,417","±3,715","±3,522","±1,833","±1,521","±1,364","±2,659","±1,833"
"    Percent Female","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","22.2%","16.8%","15.0%","21.3%","24.7%","","(X)","25.2%","18.4%","13.8%","14.3%","28.3%","(X)","22.3%","16.6%","18.2%","19.2%","23.7%","(X)","16.4%","14.6%","9.2%","39.2%","20.5%"
"        Margin of Error","(X)","±0.9","±1.1","±0.9","±1.0","±1.2","","(X)","±1.9","±2.0","±1.7","±1.5","±2.1","(X)","±1.6","±1.3","±1.2","±1.5","±1.7","(X)","±2.0","±1.7","±1.6","±2.5","±2.0"
"Louisiana","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","824,369","236,935","100,983","167,630","123,036","195,785","","274,812","95,073","33,180","51,914","19,740","74,905","367,988","96,860","47,784","85,289","49,773","88,282","181,569","45,002","20,019","30,427","53,523","32,598"
"        Margin of Error","±18,016","±9,372","±8,062","±8,666","±6,891","±8,687","","±11,805","±5,666","±5,094","±4,533","±3,308","±5,618","±11,986","±6,392","±5,214","±6,270","±5,087","±6,162","±6,081","±3,443","±2,354","±3,317","±3,775","±2,974"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","28.7%","12.2%","20.3%","14.9%","23.7%","","(X)","34.6%","12.1%","18.9%","7.2%","27.3%","(X)","26.3%","13.0%","23.2%","13.5%","24.0%","(X)","24.8%","11.0%","16.8%","29.5%","18.0%"
"        Margin of Error","(X)","±1.1","±0.9","±0.9","±0.8","±0.8","","(X)","±1.6","±1.7","±1.5","±1.2","±1.6","(X)","±1.5","±1.3","±1.6","±1.3","±1.4","(X)","±1.8","±1.3","±1.7","±1.7","±1.5"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","365,300","140,351","27,193","88,182","23,426","86,148","","115,468","50,947","7,976","25,533","2,205","28,807","163,129","56,901","12,120","42,400","9,470","42,238","86,703","32,503","7,097","20,249","11,751","15,103"
"        Margin of Error","±10,716","±6,496","±3,405","±5,417","±2,374","±5,508","","±6,929","±4,403","±2,206","±3,376","±939","±3,365","±7,438","±4,281","±2,169","±3,912","±1,771","±4,083","±3,862","±2,585","±1,272","±2,654","±1,716","±2,023"
"    Percent Male","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","38.4%","7.4%","24.1%","6.4%","23.6%","","(X)","44.1%","6.9%","22.1%","1.9%","24.9%","(X)","34.9%","7.4%","26.0%","5.8%","25.9%","(X)","37.5%","8.2%","23.4%","13.6%","17.4%"
"        Margin of Error","(X)","±1.5","±0.9","±1.3","±0.6","±1.2","","(X)","±2.8","±1.9","±2.5","±0.8","±2.4","(X)","±2.1","±1.3","±2.1","±1.0","±2.1","(X)","±2.8","±1.4","±2.7","±1.9","±2.1"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","459,069","96,584","73,790","79,448","99,610","109,637","","159,344","44,126","25,204","26,381","17,535","46,098","204,859","39,959","35,664","42,889","40,303","46,044","94,866","12,499","12,922","10,178","41,772","17,495"
"        Margin of Error","±11,279","±6,276","±6,052","±5,893","±6,116","±5,797","","±7,546","±3,911","±3,767","±3,089","±3,019","±4,230","±7,240","±4,086","±4,462","±3,942","±4,632","±3,819","±4,687","±2,186","±1,970","±1,701","±3,019","±2,067"
"    Percent Female","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","21.0%","16.1%","17.3%","21.7%","23.9%","","(X)","27.7%","15.8%","16.6%","11.0%","28.9%","(X)","19.5%","17.4%","20.9%","19.7%","22.5%","(X)","13.2%","13.6%","10.7%","44.0%","18.4%"
"        Margin of Error","(X)","±1.3","±1.2","±1.1","±1.3","±1.2","","(X)","±2.1","±2.1","±1.9","±1.8","±2.3","(X)","±1.9","±1.9","±1.8","±2.2","±1.8","(X)","±2.1","±2.0","±1.7","±2.5","±2.0"
"Maine","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","365,305","126,939","40,976","53,486","46,076","97,828","","104,803","37,178","14,702","16,122","6,736","30,065","155,496","56,370","16,385","25,417","16,583","40,741","105,006","33,391","9,889","11,947","22,757","27,022"
"        Margin of Error","±9,484","±6,173","±3,583","±3,672","±3,682","±5,311","","±4,619","±3,430","±2,328","±2,435","±1,672","±2,945","±6,018","±3,527","±2,209","±2,379","±2,234","±2,994","±4,077","±2,334","±1,535","±1,483","±2,075","±2,488"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","34.7%","11.2%","14.6%","12.6%","26.8%","","(X)","35.5%","14.0%","15.4%","6.4%","28.7%","(X)","36.3%","10.5%","16.3%","10.7%","26.2%","(X)","31.8%","9.4%","11.4%","21.7%","25.7%"
"        Margin of Error","(X)","±1.4","±0.9","±1.0","±0.9","±1.3","","(X)","±2.8","±2.1","±2.3","±1.6","±2.6","(X)","±1.9","±1.3","±1.4","±1.3","±1.7","(X)","±1.9","±1.5","±1.4","±1.7","±2.0"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","165,436","71,248","9,401","28,837","12,044","43,906","","45,598","18,614","2,962","8,011","1,295","14,716","67,262","29,559","3,971","12,149","4,379","17,204","52,576","23,075","2,468","8,677","6,370","11,986"
"        Margin of Error","±5,919","±4,437","±1,391","±2,526","±1,731","±3,529","","±2,886","±2,333","±1,052","±1,587","±619","±2,102","±3,558","±2,417","±930","±1,820","±1,276","±1,848","±2,621","±1,935","±616","±1,176","±1,073","±1,400"
"    Percent Male","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","43.1%","5.7%","17.4%","7.3%","26.5%","","(X)","40.8%","6.5%","17.6%","2.8%","32.3%","(X)","43.9%","5.9%","18.1%","6.5%","25.6%","(X)","43.9%","4.7%","16.5%","12.1%","22.8%"
"        Margin of Error","(X)","±2.2","±0.8","±1.4","±1.0","±1.9","","(X)","±4.4","±2.2","±3.3","±1.3","±4.3","(X)","±2.9","±1.4","±2.4","±1.9","±2.4","(X)","±3.2","±1.2","±2.1","±1.9","±2.3"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","199,869","55,691","31,575","24,649","34,032","53,922","","59,205","18,564","11,740","8,111","5,441","15,349","88,234","26,811","12,414","13,268","12,204","23,537","52,430","10,316","7,421","3,270","16,387","15,036"
"        Margin of Error","±5,741","±3,855","±3,103","±2,523","±2,980","±3,326","","±3,392","±2,471","±1,933","±1,787","±1,477","±1,800","±4,095","±2,270","±1,966","±1,741","±1,627","±2,255","±2,604","±1,227","±1,293","±903","±1,797","±1,775"
"    Percent Female","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","27.9%","15.8%","12.3%","17.0%","27.0%","","(X)","31.4%","19.8%","13.7%","9.2%","25.9%","(X)","30.4%","14.1%","15.0%","13.8%","26.7%","(X)","19.7%","14.2%","6.2%","31.3%","28.7%"
"        Margin of Error","(X)","±1.8","±1.4","±1.3","±1.4","±1.5","","(X)","±3.7","±3.1","±2.9","±2.4","±2.8","(X)","±2.4","±2.0","±1.9","±1.7","±2.2","(X)","±2.2","±2.4","±1.7","±3.0","±3.1"
"Maryland","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,818,202","763,499","161,975","321,835","156,724","414,169","","568,246","258,155","47,676","87,031","35,422","139,962","870,010","358,236","80,581","181,896","55,969","193,328","379,946","147,108","33,718","52,908","65,333","80,879"
